,negative,positive,total
jeff,13,13,26
jeffarchuleta,0,1,1
jeffco,0,1,1
jefferson,0,1,1
jeffersons,0,1,1
jeffowens,1,0,1
jeffree,1,0,1
jeffrey,1,0,1
jeffs,0,2,2
jeffster,1,1,2
jeffy,1,0,1
jeg,1,0,1
jehovah,0,1,1
jeje,2,3,5
jejeje,0,2,2
jekll,0,1,1
jel,0,2,2
jelasin,0,1,1
jelek,0,2,2
jelious,0,1,1
jellies,1,0,1
jelliphiish,0,1,1
jello,0,1,1
jellojellybeangirl,0,1,1
jelly,4,13,17
jellybabies,0,1,1
jellybeans,0,1,1
jellysg,1,0,1
jelous,6,7,13
jelouse,0,1,1
jelz,1,0,1
jem,1,1,2
jemaine,0,3,3
jemand,0,1,1
jemi,3,1,4
jemma,1,0,1
jemput,1,0,1
jen,10,16,26
jenae,0,1,1
jenessa,0,1,1
jeni,1,0,1
jeniferever,0,1,1
jenine,1,0,1
jenizzle,0,1,1
jenn,4,2,6
jenna,4,3,7
jennarouse,1,0,1
jenner,0,2,2
jennette,0,1,1
jenni,0,3,3
jennie,1,0,1
jennifer,7,5,12
jennings,0,1,1
jenny,8,7,15
jennybennytoe,1,0,1
jensen,10,2,12
jeolous,1,0,1
jeopardy,2,0,2
jer,1,1,2
jerboas,0,1,1
jered,1,0,1
jeremiah,0,1,1
jeremih,3,0,3
jeremy,5,4,9
jeri,0,1,1
jericho,0,1,1
jerk,14,19,33
jerkface,1,0,1
jerking,0,2,2
jerkoff,1,0,1
jerks,3,6,9
jerksss,0,1,1
jerky,0,1,1
jero,0,1,1
jerrrrrk,0,1,1
jerry,8,2,10
jerrycurl,1,0,1
jerrys,3,0,3
jers,0,1,1
jersey,16,22,38
jerseylive,0,1,1
jerseys,0,3,3
jerusalem,0,1,1
jerz,1,2,3
jes,2,2,4
jesam,0,1,1
jess,15,19,34
jesscuuhh,1,0,1
jesse,8,3,11
jesses,1,0,1
jessi,1,0,1
jessica,4,11,15
jessicajoy,1,0,1
jessicastrust,1,0,1
jessicaveronica,2,0,2
jessies,0,1,1
jest,1,1,2
jester,1,0,1
jesus,18,17,35
jesussss,0,1,1
jet,12,9,21
jeter,2,0,2
jetix,2,0,2
jetlag,2,1,3
jetlagged,0,1,1
jetlsg,1,0,1
jetpack,1,0,1
jetplane,1,0,1
jets,0,3,3
jetskiing,0,1,1
jetta,2,0,2
jetting,0,1,1
jetzt,1,0,1
jevi,0,1,1
jevin,1,0,1
jew,1,1,2
jewelery,0,1,1
jeweller,0,1,1
jewellery,2,2,4
jewelry,7,5,12
jewelryeidoscopes,1,0,1
jewels,2,1,3
jewface,0,1,1
jewish,2,1,3
jews,1,0,1
jezza,0,1,1
jfc,1,0,1
jfk,4,1,5
jg,2,7,9
jghostdor,1,0,1
jgn,1,2,3
jh,1,0,1
jhajhaja,1,0,1
jhajhajhaa,1,0,1
jhand,1,0,1
jhastings,1,0,1
jhol,0,1,1
ji,3,1,4
jia,4,0,4
jian,0,1,1
jibe,0,1,1
jidodohin,0,1,1
jien,1,0,1
jig,0,1,1
jigga,1,0,1
jigglyparts,0,1,1
jigglypufff,0,1,1
jiggy,0,1,1
jights,0,1,1
jigsaw,1,0,1
jill,4,9,13
jilli,0,2,2
jillian,2,2,4
jillion,0,1,1
jim,8,19,27
jimbalagha,1,0,1
jimbo,0,1,1
jimi,1,1,2
jimithy,1,0,1
jimjams,1,0,1
jimmie,0,1,1
jimmy,20,20,40
jimmyjohnsonii,0,1,1
jin,1,1,2
jinak,1,0,1
jing,1,0,1
jingyi,1,0,1
jinky,0,1,1
jinn,1,0,1
jinx,2,2,4
jinxed,1,4,5
jinxers,0,1,1
jinxing,2,1,3
jipped,0,1,1
jira,0,1,1
jiska,1,0,1
jist,1,1,2
jitb,0,1,1
jitter,0,1,1
jittery,1,1,2
jittle,0,1,1
jive,4,1,5
jizz,5,0,5
jizzed,2,1,3
jizzersforlife,3,1,4
jizzin,1,0,1
jizzing,1,0,1
jizztastic,3,1,4
jj,2,5,7
jjj,0,2,2
jjohnson,1,0,1
jjust,0,1,1
jk,37,58,95
jkdbfljhksfnld,0,1,1
jkemp,1,0,1
jkgjhfdsaf,1,0,1
jkhl,0,1,1
jking,1,0,1
jkjk,0,2,2
jkk,1,0,1
jkkk,0,1,1
jkkkkk,0,1,1
jkkkkkkkkkkkkkkkkkkkkkkkk,0,1,1
jks,3,1,4
jkt,0,1,1
jl,0,1,1
jlc,2,0,2
jlew,1,0,1
jlm,0,1,1
jlsoffical,1,0,1
jm,2,2,4
jmac,1,1,2
jml,1,1,2
jmo,1,0,1
jmosley,1,0,1
jmu,0,1,1
jnn,1,0,1
jnr,0,1,1
jo,14,8,22
joahann,1,0,1
joan,1,3,4
joanne,1,0,1
joans,1,0,1
joaquin,1,1,2
job,218,270,488
jobbie,0,1,1
jobi,0,1,1
jobless,3,3,6
jobo,1,0,1
jobreqs,1,0,1
jobro,1,0,1
jobros,5,1,6
jobs,19,25,44
jobsite,1,0,1
jocat,0,1,1
jock,0,1,1
jockeys,0,1,1
jocking,0,1,1
jocobo,0,1,1
jodeci,1,0,1
jodi,1,0,1
jodie,4,1,5
jodieeeeeeee,1,0,1
jody,0,2,2
joe,42,32,74
joeduenwald,1,0,1
joel,5,3,8
joellen,1,0,1
joelm,0,1,1
joes,1,2,3
joesars,0,1,1
joeseph,0,1,1
joey,10,6,16
joeys,1,0,1
jog,5,0,5
joged,0,1,1
jogged,0,2,2
jogger,1,0,1
jogging,1,3,4
jogja,1,0,1
jogl,0,1,1
jogs,1,0,1
johalonos,1,0,1
johansson,1,0,1
john,42,36,78
johnathan,1,1,2
johnno,0,1,1
johnny,5,8,13
johnnyboyca,1,0,1
johno,1,0,1
johns,3,7,10
johnson,3,6,9
johorean,0,1,1
joie,0,1,1
joiking,0,1,1
join,78,110,188
joind,0,1,1
joined,16,31,47
joing,1,0,1
joinin,0,1,1
joining,11,22,33
joins,3,1,4
joint,8,5,13
joints,1,1,2
jojo,1,1,2
joke,46,56,102
joked,0,1,1
jokein,0,1,1
joker,2,0,2
jokes,19,39,58
jokessss,0,1,1
jokig,1,0,1
jokin,0,2,2
joking,16,20,36
jokinng,0,1,1
jolene,1,0,1
jolibees,0,1,1
jolie,4,2,6
joliet,1,1,2
jolin,1,0,1
jolly,2,5,7
jollybee,0,1,1
jolts,0,1,1
jomsocial,1,0,1
jon,36,25,61
jona,1,0,1
jonah,1,3,4
jonandkate,1,0,1
jonas,73,33,106
jonasbrothers,1,0,1
jonasbrothersworldtour,0,1,1
jonasfriends,1,0,1
jonashq,0,1,1
jonaskevin,11,1,12
jonaskevini,1,0,1
jonasliveonfb,1,0,1
jonasnewsongs,2,0,2
jonasparanoid,6,0,6
jonasss,0,1,1
jonaswebcast,4,0,4
jonathan,9,1,10
jonathanrknight,1,0,1
jonathon,1,0,1
jone,0,1,1
jones,9,11,20
jonesin,1,2,3
joness,1,0,1
jong,1,0,1
joni,1,1,2
jonne,0,1,1
jonny,0,6,6
jonnyzavant,1,0,1
jonowev,0,1,1
jonverseallstar,1,0,1
joo,0,2,2
joogle,1,0,1
joolz,0,1,1
joomla,2,6,8
jooob,0,1,1
jooooordan,0,1,1
joose,1,0,1
jordan,4,15,19
jordans,2,1,3
jorders,1,0,1
jordin,5,0,5
jordsta,0,1,1
jordyn,0,1,1
joren,1,0,1
joro,0,1,1
jors,0,1,1
jos,2,0,2
jose,4,3,7
joseph,8,2,10
josey,1,0,1
josh,11,8,19
joshb,0,1,1
joshh,0,1,1
joshie,0,1,1
joshua,2,0,2
joshyy,1,0,1
josie,2,1,3
joss,0,1,1
jostling,1,0,1
joszeff,1,0,1
jotted,1,0,1
jottonia,2,0,2
journal,4,4,8
journaling,0,1,1
journalism,5,3,8
journalist,1,5,6
journalists,4,0,4
journalous,0,1,1
journaloust,0,1,1
journals,0,3,3
journchat,0,1,1
journey,20,10,30
journeys,1,0,1
journo,1,2,3
joust,0,1,1
joven,1,0,1
jovi,1,1,2
joy,35,20,55
joyce,1,0,1
joyelli,1,0,1
joyful,2,2,4
joyfull,0,1,1
joyous,1,0,1
joys,7,6,13
jozi,0,1,1
jp,3,4,7
jpeg,0,1,1
jpg,1,0,1
jplopen,1,0,1
jpn,0,2,2
jpop,1,0,1
jppppp,1,0,1
jquery,7,3,10
jqueryui,1,0,1
jr,4,11,15
jrd,1,0,1
jrk,1,0,1
jrm,1,0,1
jrock,1,0,1
js,3,0,3
jscott,1,0,1
jsdeuioslkdjfh,1,0,1
jsem,1,0,1
jsf,1,0,1
jsizzle,1,0,1
json,1,0,1
jst,18,13,31
jsut,1,0,1
jswift,1,0,1
jsyk,0,1,1
jt,3,6,9
jta,0,1,1
jte,1,0,1
jtree,0,1,1
jtv,3,2,5
ju,2,1,3
jua,0,2,2
juaa,1,0,1
juan,3,5,8
juana,0,1,1
juanita,0,1,1
juanito,0,1,1
juba,1,0,1
jubbliesssss,1,0,1
jubii,1,0,1
jubilee,0,2,2
jubu,0,2,2
jucator,0,1,1
judas,0,1,1
judd,0,1,1
jude,2,2,4
judge,17,11,28
judged,1,1,2
judgee,1,0,1
judgement,4,2,6
judgemental,0,1,1
judges,1,3,4
judging,3,7,10
judgmental,1,2,3
judgments,0,1,1
judgy,1,0,1
judicial,0,1,1
judiciary,1,1,2
judith,1,1,2
judy,0,1,1
jueves,1,0,1
jug,2,1,3
juga,2,3,5
juggernaut,2,1,3
juggernauts,1,0,1
juggle,0,1,1
jugglecon,1,0,1
juggler,0,1,1
juggling,3,2,5
jugs,0,1,1
juho,1,0,1
jui,1,0,1
juice,18,17,35
juiced,1,0,1
juiceless,0,1,1
juicepak,0,1,1
juices,3,3,6
juicin,0,1,1
juicy,4,1,5
juise,1,0,1
juju,1,1,2
jule,0,1,1
juleps,0,1,1
jules,2,2,4
juli,0,1,1
julia,4,8,12
julian,12,5,17
juliana,1,0,1
julianne,1,1,2
julias,0,1,1
julie,5,4,9
julien,0,1,1
juliet,1,2,3
juliette,1,0,1
julio,0,1,1
julius,0,1,1
jullian,1,0,1
july,70,100,170
julz,0,1,1
jum,0,1,1
jumate,1,0,1
jumbled,0,1,1
jumbo,1,0,1
jumbotron,1,0,1
jump,25,27,52
jumpa,2,0,2
jumpdrive,2,0,2
jumped,12,6,18
jumper,0,1,1
jumpers,1,1,2
jumpin,0,2,2
jumping,8,10,18
jumpnow,0,2,2
jumps,4,1,5
jumpy,2,0,2
jun,1,4,5
juncity,1,0,1
june,101,125,226
jungian,1,1,2
jungle,4,6,10
juni,1,0,1
junina,0,1,1
junior,7,4,11
juniors,0,1,1
junk,7,10,17
junkbox,0,1,1
junkie,1,2,3
junkies,1,0,1
junkiez,0,1,1
junkmail,0,1,1
junky,1,0,1
juno,3,2,5
junpei,0,1,1
junt,1,0,1
junu,0,1,1
junxion,1,0,1
jupiler,0,1,1
jupiter,2,4,6
juppy,1,0,1
jurassic,0,2,2
juries,1,1,2
jurnalisti,1,0,1
jurnalistica,0,1,1
jurong,0,3,3
juror,0,1,1
jury,5,1,6
jus,57,51,108
jush,0,1,1
juss,6,4,10
jussssst,0,1,1
jusst,1,0,1
just,2962,3903,6865
justcause,1,0,1
juste,0,1,1
justed,1,0,1
justement,0,1,1
justhad,1,0,1
justice,6,4,10
justices,0,1,1
justie,1,0,1
justifiable,0,1,1
justification,1,0,1
justified,1,2,3
justify,2,3,5
justifying,0,1,1
justin,13,10,23
justine,1,0,1
justins,1,0,1
justjaredjunior,1,0,1
justnow,0,1,1
justsaw,1,0,1
justsayin,1,1,2
justsignal,0,1,1
justsouknow,1,0,1
justwhy,1,0,1
justy,0,1,1
justyn,1,0,1
jusus,1,0,1
jusy,1,1,2
jut,0,2,2
juts,1,0,1
juuu,1,0,1
juuuust,1,0,1
juuuusttttt,0,1,1
juuuuuuuust,0,1,1
juuuuuuuuuuudeeee,0,1,1
juve,1,0,1
juvenile,1,0,1
juvenstus,1,0,1
juventude,0,1,1
juventus,1,1,2
juwon,1,0,1
jux,1,0,1
juz,4,4,8
jv,0,1,1
jw,1,1,2
jwalker,1,0,1
jwz,1,0,1
jynx,1,0,1
jz,1,2,3
ka,10,22,32
kaaaaa,0,1,1
kaaay,1,0,1
kaam,1,0,1
kaau,0,1,1
kaayy,0,1,1
kabab,1,0,1
kabar,0,1,1
kabarin,0,1,1
kabarkada,1,0,1
kabelbw,1,0,1
kablam,1,0,1
kabob,1,1,2
kachat,2,0,2
kaci,1,0,1
kadalundy,0,1,1
kaddy,0,1,1
kade,1,0,1
kado,2,0,2
kafooo,0,1,1
kafu,1,0,1
kagak,0,1,1
kagaling,0,1,1
kaggle,2,0,2
kahit,0,3,3
kahli,1,0,1
kahne,2,0,2
kai,2,1,3
kailan,0,1,1
kailangan,0,1,1
kailee,1,0,1
kailey,0,1,1
kailynn,0,1,1
kainan,0,1,1
kainis,0,1,1
kaip,0,1,1
kaise,1,0,1
kaiser,2,1,3
kaiserslautern,0,1,1
kait,1,0,1
kaiten,0,1,1
kaitlyn,1,0,1
kajol,0,1,1
kak,1,2,3
kaka,1,0,1
kakak,0,1,1
kakapalit,1,0,1
kaki,0,1,1
kal,1,0,1
kalau,0,1,1
kale,0,2,2
kaleidoscope,1,0,1
kalhua,0,1,1
kali,1,2,3
kalian,2,0,2
kalled,1,0,1
kallis,1,0,1
kallsz,1,0,1
kalo,1,2,3
kalua,1,0,1
kalyas,0,1,1
kam,1,1,2
kama,2,0,2
kamar,0,1,1
kami,2,3,5
kaming,1,0,1
kamis,0,1,1
kamnet,1,0,1
kampung,1,0,1
kamu,1,0,1
kamukha,0,1,1
kamusta,1,1,2
kan,3,7,10
kanaan,1,0,1
kanckered,0,1,1
kandi,2,1,3
kandie,1,0,1
kane,4,4,8
kang,1,0,1
kangaroo,1,1,2
kangaroor,1,0,1
kangkung,1,0,1
kani,0,1,1
kanina,1,4,5
kanishka,0,1,1
kanji,0,1,1
kanker,0,1,1
kanneganti,1,0,1
kannte,0,1,1
kannu,0,1,1
kanpur,1,0,1
kanpuriya,1,0,1
kansas,5,5,10
kant,0,3,3
kanye,7,5,12
kaon,0,1,1
kaos,1,0,1
kaoss,0,1,1
kaotic,0,1,1
kapag,0,1,1
kapatid,0,1,1
kapoor,1,0,1
kapotlachen,0,1,1
kapow,1,1,2
kapsel,0,1,1
kar,5,0,5
kara,1,1,2
karachi,2,0,2
karaoke,2,7,9
karat,1,0,1
karate,1,2,3
kardashian,0,4,4
kardashians,2,1,3
kare,0,1,1
kareem,1,0,1
kareena,0,1,1
karen,6,4,10
karenge,1,0,1
karenwild,1,0,1
kareoke,1,1,2
kareokee,0,1,1
karev,1,0,1
kari,0,2,2
karidosai,1,0,1
karim,0,1,1
karina,0,2,2
karine,1,0,1
karinne,1,0,1
karl,1,3,4
karla,1,1,2
karleys,0,1,1
karli,1,0,1
karly,1,1,2
karma,5,7,12
karmada,1,0,1
karna,1,0,1
karo,1,1,2
karol,1,0,1
karon,1,0,1
kart,1,1,2
kartikakasih,1,0,1
karting,0,2,2
kartini,1,1,2
kasabian,1,0,1
kasem,1,0,1
kasey,2,0,2
kashmir,1,0,1
kashrut,1,0,1
kashtam,0,1,1
kasi,6,9,15
kasia,0,1,1
kasian,0,1,1
kaso,1,0,1
kaspa,1,0,1
kasparov,0,1,1
kaspersky,1,0,1
kat,10,4,14
katamari,0,1,1
katanya,1,0,1
katarinaa,0,1,1
katchy,1,0,1
kate,36,24,60
katelyn,0,4,4
kates,0,1,1
katey,2,0,2
kateyy,0,1,1
kath,1,0,1
katharine,1,0,1
katherine,2,1,3
kathi,0,2,2
kathleen,4,0,4
kathryn,2,0,2
kathrynkinney,1,0,1
kathy,2,7,9
katie,19,8,27
katies,1,1,2
katis,1,0,1
katjrobertson,1,0,1
katrina,0,3,3
kats,1,0,1
katsu,0,1,1
katt,1,1,2
kattetweets,0,1,1
katy,9,4,13
katycat,0,1,1
katyperry,1,0,1
katysmiles,1,0,1
katyy,0,1,1
kauai,1,0,1
kav,1,0,1
kaw,0,2,2
kawasaki,0,1,1
kawawaface,1,0,1
kay,12,19,31
kaya,2,3,5
kayaaa,1,0,1
kayak,1,0,1
kayaking,1,1,2
kayakny,0,1,1
kayaks,1,0,1
kaye,1,0,1
kayla,3,5,8
kaylamtuttle,1,0,1
kaylee,1,1,2
kayleigh,1,0,1
kayley,1,1,2
kayo,0,2,2
kaysa,1,0,1
kaytie,1,0,1
kayveepee,1,0,1
kayyy,0,1,1
kazillionaire,0,1,1
kazmir,0,1,1
kb,4,4,8
kbal,1,0,1
kbez,1,0,1
kbps,3,2,5
kbye,1,0,1
kc,4,10,14
kca,1,1,2
kce,0,1,1
kcs,1,1,2
kd,0,2,2
kde,1,0,1
kdot,0,1,1
kdramas,0,1,1
ke,10,7,17
keahey,1,0,1
keane,0,2,2
keanu,0,1,1
keating,1,1,2
keaton,0,1,1
keave,0,1,1
kebab,1,1,2
kebabking,1,0,1
kebabs,1,0,1
kebaya,0,1,1
kebdg,1,0,1
keeeeep,1,0,1
keeep,0,1,1
keegan,0,1,1
keele,1,0,1
keeley,0,1,1
keely,1,0,1
keem,0,1,1
keemie,1,0,1
keen,3,7,10
keener,1,0,1
keenochan,1,0,1
keep,364,485,849
keepeing,0,1,1
keeper,3,4,7
keepers,1,1,2
keepign,0,1,1
keepin,3,6,9
keeping,47,36,83
keepn,0,1,1
keeps,61,54,115
keer,1,0,1
keerstin,1,0,1
keg,1,1,2
kegels,1,0,1
keh,0,1,1
keibler,0,1,1
keiki,0,1,1
keila,0,1,1
kein,3,1,4
keine,0,1,1
keith,2,4,6
kejang,0,1,1
kekai,1,0,1
keke,1,1,2
keknya,0,2,2
kel,1,1,2
kela,0,1,1
kelamaan,1,0,1
kelan,0,1,1
kelar,1,0,1
kelby,0,1,1
kelkheim,0,1,1
kellan,2,1,3
keller,1,0,1
kelleys,1,0,1
kelli,2,0,2
kellie,1,2,3
kellis,1,0,1
kellly,1,0,1
kells,0,2,2
kelly,13,13,26
kellyg,1,0,1
kellyofficial,0,1,1
kellys,0,2,2
kellz,0,1,1
kelsey,4,5,9
kelso,1,1,2
keluar,0,1,1
kelz,0,2,2
kema,1,0,1
kemalasan,0,1,1
kemnay,1,0,1
kemp,1,0,1
kempton,0,1,1
ken,5,3,8
kena,1,1,2
kenan,1,0,1
kendal,0,1,1
kendall,1,0,1
kendra,2,2,4
kendrick,1,0,1
kendrickkkk,0,1,1
kendricks,1,0,1
kenduri,0,1,1
kenin,0,1,1
kenjhons,1,0,1
kennedy,3,1,4
kennel,0,1,1
kennels,1,0,1
kenneth,2,0,2
kenney,1,0,1
kenny,3,3,6
kennywood,0,2,2
keno,0,1,1
kenseth,2,0,2
kenshin,1,0,1
kent,1,2,3
kentucky,2,2,4
kenyang,0,1,1
kenz,1,0,1
kenzie,1,0,1
keough,1,0,1
kepp,0,1,1
kept,32,52,84
kepto,0,1,1
ker,1,0,1
kerala,0,1,1
kerap,0,1,1
keren,1,0,1
keri,3,3,6
kering,0,1,1
kerman,0,1,1
kernal,0,1,1
kerosene,1,0,1
kerr,0,1,1
kerrang,2,1,3
kerrie,3,0,3
kerry,1,2,3
kers,0,1,1
kes,1,0,1
kesel,1,1,2
kesfeh,0,1,1
kesini,0,3,3
kestra,1,0,1
keswick,1,2,3
ketchup,4,3,7
ketei,0,1,1
kethryvis,1,0,1
ketinggalantah,0,1,1
kettle,3,2,5
kettlebell,0,1,1
keturunan,0,1,1
keurig,0,2,2
kev,2,4,6
kevin,22,19,41
kevinjonas,12,1,13
kevinlove,1,0,1
kevinpm,1,0,1
kevlar,0,1,1
kevy,1,0,1
kew,1,0,1
kewajiban,1,0,1
kewl,3,6,9
key,34,29,63
keybindings,1,0,1
keyboard,14,25,39
keyboards,1,3,4
keykaa,0,1,1
keyko,1,0,1
keynes,0,1,1
keynote,4,2,6
keynotes,1,0,1
keypad,1,0,1
keys,16,17,33
keysinmahcar,1,0,1
keystrokes,0,1,1
keyword,2,2,4
keywords,2,4,6
kf,0,1,1
kfc,5,4,9
kfcphilippines,1,0,1
kfff,0,1,1
kfjhds,1,0,1
kfm,0,1,1
kg,5,1,6
kgs,1,1,2
kh,2,4,6
khabar,0,1,1
khaled,1,0,1
khalisha,1,0,1
khamenei,5,0,5
khan,3,0,3
kharab,1,1,2
kharach,1,0,1
khareedna,1,0,1
khateebs,1,0,1
khatz,1,0,1
khayal,0,1,1
khedra,1,0,1
khemu,0,1,1
khen,1,0,1
khi,0,1,1
khmer,1,0,1
khmm,0,1,1
kho,1,0,1
khoan,0,1,1
khong,1,0,1
khonnor,1,0,1
khorovats,0,1,1
khris,1,0,1
kht,0,2,2
khushi,0,1,1
khusus,0,1,1
khuuuuuuub,1,0,1
ki,5,4,9
kian,0,1,1
kiana,0,2,2
kiang,0,1,1
kiara,2,0,2
kibler,1,0,1
kibum,1,0,1
kichen,0,1,1
kick,51,56,107
kickarse,0,1,1
kickass,1,2,3
kickball,2,1,3
kickboxing,0,1,1
kicked,16,18,34
kickiiinnnnn,0,1,1
kickin,0,4,4
kicking,10,19,29
kickingandscreaming,0,1,1
kickoff,3,2,5
kicks,10,9,19
kickstart,1,1,2
kid,84,74,158
kida,1,0,1
kidd,2,1,3
kidded,0,1,1
kidden,0,1,1
kiddie,0,1,1
kiddies,1,2,3
kiddin,1,6,7
kidding,46,75,121
kiddman,0,1,1
kiddo,4,5,9
kiddos,2,7,9
kiddy,1,0,1
kidless,1,1,2
kidlet,2,0,2
kidlets,0,1,1
kidnap,2,5,7
kidnapped,3,3,6
kidnapping,1,0,1
kidney,5,2,7
kidneys,1,0,1
kidneythieves,1,0,1
kidoooo,1,0,1
kids,130,183,313
kidssssssss,1,0,1
kidtokid,1,0,1
kieran,1,0,1
kiersten,1,0,1
kies,1,0,1
kii,0,3,3
kiidding,1,0,1
kiiiiiit,1,0,1
kiiiiim,0,1,1
kiiiiinda,1,0,1
kiis,2,1,3
kikcked,1,0,1
kike,1,0,1
kiki,1,1,2
kikiam,1,0,1
kikies,0,1,1
kilburn,1,0,1
kildare,1,0,1
kileen,1,0,1
kilimanjaro,1,0,1
kilkenny,1,1,2
kill,72,71,143
killa,1,1,2
killah,1,0,1
killarney,1,0,1
killaz,1,0,1
killd,1,0,1
killed,30,32,62
killer,16,22,38
killers,5,9,14
killhouse,1,0,1
killied,1,0,1
killin,3,2,5
killing,45,30,75
killings,1,0,1
killlla,0,1,1
killlllll,1,0,1
kills,9,10,19
killyourself,2,0,2
killzone,0,2,2
kilo,1,0,1
kilometer,1,0,1
kilos,1,0,1
kilt,2,1,3
kilter,0,1,1
kilts,0,2,2
kim,14,10,24
kimball,0,1,1
kimberley,1,0,1
kimberly,1,1,2
kimi,4,2,6
kimikee,0,1,1
kimk,0,1,1
kimmel,3,4,7
kimmell,0,1,1
kimmii,1,0,1
kimmoinsanity,1,0,1
kimmy,2,1,3
kimono,0,1,1
kimora,0,4,4
kimya,1,0,1
kin,2,3,5
kina,1,1,2
kinalaman,0,1,1
kind,143,240,383
kinda,156,198,354
kinddaa,0,1,1
kinddda,1,0,1
kinder,0,2,2
kindergarden,3,0,3
kindergarten,2,2,4
kindest,0,1,1
kindle,5,11,16
kindly,5,6,11
kindness,10,1,11
kindof,2,0,2
kindred,1,1,2
kinds,8,8,16
kindy,1,0,1
kinf,0,1,1
king,29,34,63
kingaussie,1,0,1
kingdom,7,3,10
kingdomhearts,1,0,1
kingfishers,1,0,1
kingpen,1,0,1
kings,13,19,32
kingsofleah,1,0,1
kingston,2,2,4
kinked,0,1,1
kinkier,0,1,1
kinks,0,2,2
kinky,5,1,6
kinna,0,1,1
kinnda,1,0,1
kino,0,1,1
kinsale,0,1,1
kinsella,0,2,2
kiosk,2,0,2
kip,1,2,3
kipro,1,0,1
kirby,1,1,2
kirin,0,1,1
kirk,1,5,6
kirkman,0,1,1
kirks,0,1,1
kiro,0,1,1
kirsha,0,1,1
kirst,1,0,1
kirsten,0,1,1
kirstenamber,1,0,1
kirstie,1,3,4
kirstiealley,1,0,1
kishimoto,1,0,1
kiss,49,43,92
kissed,7,6,13
kisser,1,0,1
kisses,27,41,68
kissimmee,1,1,2
kissing,7,2,9
kisskass,1,0,1
kissy,3,0,3
kit,5,14,19
kita,4,7,11
kitchen,23,32,55
kitchens,1,0,1
kite,3,1,4
kites,1,0,1
kiteshi,0,1,1
kitkat,0,1,1
kitkats,1,0,1
kits,1,1,2
kitteh,1,2,3
kittehs,2,2,4
kitten,10,12,22
kittens,6,9,15
kittie,1,0,1
kitties,6,8,14
kittle,0,1,1
kittu,1,0,1
kitty,29,41,70
kittycat,0,1,1
kittykat,1,0,1
kittyrant,1,0,1
kittys,0,1,1
kiwi,2,1,3
kiwis,3,2,5
kix,2,1,3
kiya,0,3,3
kiyyah,1,0,1
kj,3,0,3
kjhaj,0,1,1
kjs,1,0,1
kk,6,10,16
kkk,1,0,1
kkkk,1,0,1
kkkkkkkkkkkkk,0,1,1
kkob,1,0,1
kkr,2,0,2
kku,1,0,1
kl,3,8,11
klang,0,1,1
klappt,1,0,1
klara,0,1,1
klas,1,0,1
klatch,1,0,1
klausur,0,1,1
klbk,0,1,1
klcc,1,0,1
klccc,1,0,1
kleenex,0,1,1
kleigh,1,0,1
klejsjfksjf,1,0,1
klenger,1,0,1
klepto,0,1,1
klfjhadsklfhk,1,0,1
kliens,1,0,1
kline,0,2,2
klinkt,0,1,1
klint,0,1,1
klk,1,0,1
klo,0,3,3
kloee,1,0,1
klondike,1,0,1
kls,0,1,1
kluka,1,0,1
km,4,4,8
kmarin,0,1,1
kmart,1,1,2
kmn,0,1,1
kmrn,0,2,2
kms,0,2,2
kmu,0,1,1
kmymoney,0,1,1
kn,2,0,2
knack,1,1,2
knackerd,1,0,1
knackered,3,6,9
knal,0,2,2
knead,1,1,2
knee,19,24,43
kneed,1,0,1
kneeling,1,1,2
kneepads,0,1,1
knees,6,3,9
knew,100,155,255
knewww,0,1,1
kng,1,0,1
knick,1,0,1
knickers,0,1,1
knicks,0,1,1
knife,3,6,9
knight,7,14,21
knightpkf,1,0,1
knights,2,2,4
knighty,0,1,1
knina,1,0,1
knit,2,3,5
knitta,0,1,1
knitted,1,1,2
knitterati,0,1,1
knitting,1,8,9
knittings,0,1,1
knives,0,2,2
kno,40,89,129
knob,1,0,1
knobduddy,1,0,1
knocauseeee,1,0,1
knock,13,15,28
knocked,9,10,19
knockin,1,0,1
knocking,1,6,7
knockoff,1,0,1
knockonwood,0,1,1
knockout,0,1,1
knockouts,1,0,1
knocks,2,1,3
knoe,1,2,3
knok,0,1,1
knokk,1,0,1
knoo,0,2,2
knooo,1,1,2
knoooo,1,2,3
knooooo,0,2,2
knoooooow,0,1,1
knooooow,0,5,5
knoooow,1,4,5
knooow,3,5,8
knoow,3,2,5
knooww,0,2,2
knoppers,0,1,1
knoright,0,1,1
knos,1,0,1
knots,2,0,2
knotted,1,0,1
know,1766,2845,4611
knowin,1,0,1
knowing,24,32,56
knowingly,0,1,1
knowle,1,0,1
knowledgable,1,1,2
knowledge,11,15,26
knowledgeable,1,1,2
known,29,48,77
knows,66,76,142
knoww,6,8,14
knowww,2,7,9
knowwww,1,4,5
knowwwww,0,1,1
knox,1,1,2
knp,0,1,1
knsee,1,0,1
knt,0,1,1
knuckle,0,1,1
knurl,1,0,1
knw,13,18,31
knwldge,0,1,1
knwo,1,1,2
knwwww,0,1,1
ko,18,20,38
koala,1,3,4
koalas,1,0,1
kobbeee,0,1,1
kobe,10,12,22
kobes,1,0,1
kobi,0,1,1
kobr,0,1,1
kodak,1,1,2
kodakkkan,0,1,1
kodakoda,1,0,1
kodanad,0,1,1
kodiak,0,2,2
kodithe,0,1,1
kodo,1,0,1
kodocha,1,0,1
kodumai,0,1,1
